p
"[{},{},{weight:amor + mas + normal + menosde20 + rojo}]"
"[{},{},{weight:amistad + menosde6 + normal + amarillo}]"
"[{},{},{weight:religioso + mas + normal + masde20}]"
"[{},{},{weight:amor + menosde6 + normal + todosColores}]"
"[{},{},{weight:religioso + menosdeunano + normal +  todosColores}]"
"[{},{},{weight:amistad + menosde6 + facil + verde}]"
"[{},{},{weight:amistad + menosde6 + facil + verde}]"
"[{},{},{weight:formal + menosde5 + dificil + exotico}]"
"[{},{},{weight:amistad + menosde5 + dificil + exotico}]"
"[{},{},{weight:amistad + menosde5 + dificil + exotico}]"
"[{},{},{weight:otra + menosdeunano + dificil + verde}]"
"[{},{},{weight:amor + mas + dificil + todosColores}]"
"[{},{},{weight:amistad + menosdeunano + normal + rojo}]"
